CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2363074	105769	SRC	P06239, P06241, P07947, P07948, P08631, P09769, P12931, P42685, P51451, Q9H3Y6	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2417352	107645	Microtubule-associated serine/threonine-protein kinase 3	O60307	SINGLE PROTEIN	Homo sapiens	16	28
CHEMBL2189160	105490	Serine/threonine-protein kinase TBK1	Q9WUN2	SINGLE PROTEIN	Mus musculus	24	24
CHEMBL2434817	107667	Mitogen-activated protein kinase kinase kinase 11	Q80XI6	SINGLE PROTEIN	Mus musculus	8	8
CHEMBL3580528	109813	Serine/threonine-protein kinase PAK 1	P35465	SINGLE PROTEIN	Rattus norvegicus	1	3
CHEMBL5818	101348	Serine/threonine-protein kinase PRKX	P51817	SINGLE PROTEIN	Homo sapiens	1465	2075
CHEMBL3808271	116798	Voltage-gated sodium channel Nav1.5 cardiac isoform	Q5YLN7	SINGLE PROTEIN	Canis lupus familiaris	1	2
CHEMBL3714704	116664	Kinase	B2RXC2	SINGLE PROTEIN	Mus musculus	97	97
CHEMBL3885565	117109	Dual specificity mitogen-activated protein kinase kinase 1/2	P31938, Q63932	PROTEIN FAMILY	Mus musculus	1	1
CHEMBL3885603	117147	Mitogen-activated protein kinase 9/10	Q61831, Q9WTU6	PROTEIN FAMILY	Mus musculus	1	2
CHEMBL3883309	117022	Axin-1/Glycogen synthase kinase-3 beta	O15169, P49841	PROTEIN-PROTEIN INTERACTION	Homo sapiens	1	1
